id,codigo_ibge,nome,uf
1289,2303907,Chaval,CE
1291,2303956,Chorozinho,CE
1290,2303931,Choró,CE
1298,2304004,Coreaú,CE
1300,2304103,Crateús,CE
1301,2304202,Crato,CE
1304,2304236,Croatá,CE
1308,2304251,Cruz,CE
1318,2304269,Deputado Irapuan Pinheiro,CE
1333,2304277,Ererê,CE
1337,2304285,Eusébio,CE
1338,2304301,Farias Brito,CE
1346,2304350,Forquilha,CE
1377,2305233,Horizonte,CE
1380,2305266,Ibaretama,CE
1382,2305308,Ibiapina,CE
1386,2305332,Ibicuitinga,CE
1390,2305357,Icapuí,CE
1392,2305407,Icó,CE
1396,2305506,Iguatu,CE
1397,2305605,Independência,CE
1402,2305654,Ipaporanga,CE
1403,2305704,Ipaumirim,CE
1404,2305803,Ipu,CE
1405,2305902,Ipueiras,CE
1407,2306009,Iracema,CE
1411,2306108,Irauçuba,CE
1417,2306256,Itaitinga,CE
1415,2306207,Itaiçaba,CE
1419,2306306,Itapagé,CE
1422,2306405,Itapipoca,CE
1423,2306504,Itapiúna,CE
1425,2306553,Itarema,CE
1426,2306603,Itatira,CE
1432,2306702,Jaguaretama,CE
1433,2306801,Jaguaribara,CE
1434,2306900,Jaguaribe,CE
1435,2307007,Jaguaruana,CE
1439,2307106,Jardim,CE
1442,2307205,Jati,CE
1443,2307254,Jijoca de Jericoacoara,CE
1451,2307304,Juazeiro do Norte,CE
1453,2307403,Jucás,CE
1468,2307502,Lavras da Mangabeira,CE
1470,2307601,Limoeiro do Norte,CE
1478,2307635,Madalena,CE
1486,2307650,Maracanaú,CE
1488,2307700,Maranguape,CE
1490,2307809,Marco,CE
1496,2308005,Massapê,CE
1500,2308104,Mauriti,CE
1502,2308203,Meruoca,CE
3059,3122900,Dona Eusébia,MG
3544,3147808,Passa-Vinte,MG
3604,3150539,Pingo-d'Água,MG
3951,3165560,Sem-Peixe,MG
3935,3165206,São Thomé das Letras,MG
4979,2508703,Mãe d'Água,PB
5012,2510402,Olho d'Água,PB
5103,2515401,Seridó,PB
7149,2401305,Augusto Severo,RN
1526,2308708,Morada Nova,CE
1527,2308807,Moraújo,CE
1528,2308906,Morrinhos,CE
77,2702553,Estrela de Alagoas,AL
1531,2309003,Mucambo,CE
1532,2309102,Mulungu,CE
1547,2309201,Nova Olinda,CE
1548,2309300,Nova Russas,CE
1551,2309409,Novo Oriente,CE
1553,2309458,Ocara,CE
1559,2309508,Orós,CE
